,doc_id,date,time_start,time_end,time_slot_start,time_slot_end,time_slot_duration,appointments_count,overtime_delay,event_type,event_time_stamp,delay_caused_due_to_event
0,d0611be3-30af-46f7-8dad-09cdee7a8d02,2024-02-07,9:00:00,11:00:00,9:00:00,9:15:00,15,4,6,,,
1,7d9bdfee-82bd-465d-92f2-fa7517784bac,2024-01-22,9:00:00,11:00:00,9:15:00,9:30:00,15,4,9,,,
2,b1077fe8-00dd-4f18-8cd2-5136ebb244d4,2024-01-30,9:00:00,11:00:00,9:00:00,9:15:00,15,4,13,,,
3,0f5c3f46-c657-42eb-a85f-d9d588587d46,2024-02-05,18:00:00,20:00:00,18:45:00,19:00:00,15,4,4,,,
4,cfdd52b1-09e6-426a-a289-5ea02ad7c2fd,2024-03-18,9:00:00,11:00:00,9:00:00,9:15:00,15,4,13,cannot make it,2024-03-18 00:00:00,4
5,390659a8-6abb-4c8d-83b9-3f37875c9e38,2024-01-31,18:00:00,20:00:00,18:00:00,18:15:00,15,4,15,,,
6,958ba9ab-ba58-4570-883a-67082711df59,2024-03-17,9:00:00,11:00:00,9:00:00,9:15:00,15,4,12,,,
7,5726475f-d1bf-4a9a-9d97-a4bf4f86fd8d,2024-03-12,9:00:00,11:00:00,9:00:00,9:15:00,15,4,11,,,
8,e3730969-4031-4021-ae40-92354e3c9159,2024-02-20,9:00:00,11:00:00,9:15:00,9:30:00,15,4,2,,,
9,584f2e51-2be3-417d-b0d4-156e4b9ac7f0,2024-02-15,9:00:00,11:00:00,9:00:00,9:15:00,15,4,8,,,
10,0de9f597-b835-4616-a7a3-e3e378582387,2024-02-06,18:00:00,20:00:00,18:45:00,19:00:00,15,4,5,,,
11,52020a01-d8dd-46c6-b76f-1b47381d14c1,2024-02-10,20:00:00,23:00:00,20:15:00,20:30:00,15,6,9,cannot make it,2024-03-16 00:00:00,12
12,d61e665b-3f7b-41d1-8039-057ac3a36fa7,2024-02-29,9:00:00,11:00:00,10:00:00,10:15:00,15,4,1,,,
13,aca5d297-9c60-4db4-800d-bb26fb327b9d,2024-02-17,18:00:00,20:00:00,18:00:00,18:15:00,15,4,6,,,
14,c48901d7-c748-4d99-b64b-c342fc3a5825,2024-03-03,18:00:00,20:00:00,18:15:00,18:30:00,15,4,9,delayed due to patient,2024-02-22 00:00:00,10
15,30645fcf-2552-4c87-a820-3efc43dd00f7,2024-03-25,20:00:00,23:00:00,21:00:00,21:15:00,15,6,5,,,
16,7142aabd-679d-4e61-a54e-398589ab1c98,2024-02-06,18:00:00,20:00:00,18:00:00,18:15:00,15,4,5,,,
17,bdad757e-4577-4460-96de-67f748ad6773,2024-03-23,9:00:00,11:00:00,9:15:00,9:30:00,15,4,6,delay in arrival,2024-03-22 00:00:00,0
18,7ce6f7c0-d239-4ba6-8e7d-04a101fb4a8f,2024-03-02,9:00:00,11:00:00,9:00:00,9:15:00,15,4,10,delay in arrival,2024-03-04 00:00:00,9
19,a067b037-8c23-44e8-873a-a43bb7565ab3,2024-02-11,18:00:00,20:00:00,19:00:00,19:15:00,15,4,15,,,
20,876205d8-670b-48f5-8b07-d3ac8773b6bf,2024-03-23,9:00:00,11:00:00,9:30:00,9:45:00,15,4,11,,,
21,94fc35b2-929f-4df3-971a-3e97cb4a65e9,2024-01-16,9:00:00,11:00:00,9:00:00,9:15:00,15,4,1,,,
22,74370b2e-b983-47c2-900b-fed91f0f4ee8,2024-01-26,20:00:00,23:00:00,20:00:00,20:15:00,15,6,14,,,
23,8fb72967-1e75-4642-a4ca-120981c8d05a,2024-02-11,18:00:00,20:00:00,18:15:00,18:30:00,15,4,7,,,
24,09aa7335-a1b8-4455-8cd6-916e41d41efa,2024-01-03,9:00:00,11:00:00,9:00:00,9:15:00,15,4,14,,,
25,e45da2d0-6cb8-47d1-844d-38998a0eb6c8,2024-01-27,18:00:00,20:00:00,18:00:00,18:15:00,15,4,9,,,
26,de5c3554-92f1-4d5e-8ee5-5d949823bb3a,2024-01-27,18:00:00,20:00:00,18:00:00,18:15:00,15,4,8,delayed due to patient,2024-01-27 00:00:00,11
27,88f7d4cb-1735-4fb1-916e-f5ea8cc821c3,2024-01-27,20:00:00,23:00:00,20:00:00,20:15:00,15,6,11,delayed due to patient,2024-01-31 00:00:00,10
28,73cf785a-3f6e-46f7-90c0-9eaeeae1f5aa,2024-02-17,9:00:00,11:00:00,10:00:00,10:15:00,15,4,5,,,
